time,USDC,USDC.e
2021-12-17T00:00:00Z,871.294003,130.288068
2021-12-18T00:00:00Z,118.958607,885.70239
2021-12-19T00:00:00Z,927.983177,7919.128577
2021-12-20T00:00:00Z,48874.3185,459418.3295
2021-12-21T00:00:00Z,34602.4055,507757.255
2021-12-22T00:00:00Z,19966.43134,280987.7245
2021-12-23T00:00:00Z,65860.45757,558486.4655
2021-12-24T00:00:00Z,32839.38088,467558.5966
2021-12-25T00:00:00Z,76913.41774,455754.0403
2021-12-26T00:00:00Z,179465.3764,322667.9513
2021-12-27T00:00:00Z,279136.2607,192656.61
2021-12-28T00:00:00Z,61471.045,520233.6583
2021-12-29T00:00:00Z,181318.8328,323148.8016
2021-12-30T00:00:00Z,158695.3048,326032.686
2021-12-31T00:00:00Z,112125.9245,493066.3506
2022-01-01T00:00:00Z,268416.07,252386.869
2022-01-02T00:00:00Z,358505.2269,124576.1305
2022-01-03T00:00:00Z,287889.2132,190557.3912
2022-01-04T00:00:00Z,787105.0167,1031317.024
2022-01-05T00:00:00Z,239157.0342,1277297.941
2022-01-06T00:00:00Z,87543.78243,518988.0472
2022-01-07T00:00:00Z,149562.1888,664644.173
2022-01-08T00:00:00Z,167003.3357,977062.1897
2022-01-09T00:00:00Z,406286.4276,1169015.64
2022-01-10T00:00:00Z,385079.1007,1139141.522
2022-01-11T00:00:00Z,557514.6243,872380.6898
2022-01-12T00:00:00Z,899045.0404,344053.0099
2022-01-13T00:00:00Z,455206.7499,538568.0271
2022-01-14T00:00:00Z,472100.5608,164533.3743
2022-01-15T00:00:00Z,432914.8216,287988.811
2022-01-16T00:00:00Z,185660.8487,352141.5101
2022-01-17T00:00:00Z,283183.6185,684370.6955
2022-01-18T00:00:00Z,240211.3568,787239.2666
2022-01-19T00:00:00Z,472499.5736,539751.1465
2022-01-20T00:00:00Z,215113.0764,780281.9387
2022-01-21T00:00:00Z,829976.9459,1677675.678
2022-01-22T00:00:00Z,804675.0424,2357505.572
2022-01-23T00:00:00Z,1066395.384,1554330.43
2022-01-24T00:00:00Z,640234.6035,1765204.578
2022-01-25T00:00:00Z,1045081.974,1264503.417
2022-01-26T00:00:00Z,299183.3152,1727174.627
2022-01-27T00:00:00Z,102063.5629,1487365.294
2022-01-28T00:00:00Z,810546.739,4239480.578
2022-01-29T00:00:00Z,1322921.312,4087949.317
2022-01-30T00:00:00Z,1088248.332,2145542.838
2022-01-31T00:00:00Z,669085.7824,1556885.242
2022-02-01T00:00:00Z,1550943.077,897988.4158
2022-02-02T00:00:00Z,681608.3791,2384525.486
2022-02-03T00:00:00Z,1613079.576,3568637.125
2022-02-04T00:00:00Z,1508417.969,5248309.953
2022-02-05T00:00:00Z,1205548.611,3306762.025
2022-02-06T00:00:00Z,601918.3664,2603461.461
2022-02-07T00:00:00Z,947446.9298,2924504.341
2022-02-08T00:00:00Z,1408091.374,3158111.401
2022-02-09T00:00:00Z,1491937.237,3147269.896
2022-02-10T00:00:00Z,1742799.377,2162622.347
2022-02-11T00:00:00Z,1419036.976,2330457.561
2022-02-12T00:00:00Z,1239119.341,1789802.128
2022-02-13T00:00:00Z,1193381.657,1837304.246
2022-02-14T00:00:00Z,1515970.96,1291005.552
2022-02-15T00:00:00Z,1246728.081,1508815.201
2022-02-16T00:00:00Z,1051782.254,1601577.237
2022-02-17T00:00:00Z,971460.3906,1662188.774
2022-02-18T00:00:00Z,767187.8871,1744450.467
2022-02-19T00:00:00Z,813054.2449,1587779.65
2022-02-20T00:00:00Z,861009.4773,1433267.423
2022-02-21T00:00:00Z,686883.0348,1607552.977
2022-02-22T00:00:00Z,1137765.239,1153068.499
2022-02-23T00:00:00Z,1110757.799,1180623.929
2022-02-24T00:00:00Z,800404.0841,1473159.714
2022-02-25T00:00:00Z,958400.6822,1919911.241
2022-02-26T00:00:00Z,890609.8519,1992421.386
2022-02-27T00:00:00Z,825978.2147,2058078.585
2022-02-28T00:00:00Z,821259.3461,1539294.788
2022-03-01T00:00:00Z,793478.8125,1732410.729
2022-03-02T00:00:00Z,1242251.293,1285285.382
2022-03-03T00:00:00Z,1224235.644,1911214.699
2022-03-04T00:00:00Z,1464370.476,2656563.033
2022-03-05T00:00:00Z,1974966.539,1559408.705
2022-03-06T00:00:00Z,1887521.315,1402305.121
2022-03-07T00:00:00Z,1926821.704,1374752.384
2022-03-08T00:00:00Z,1777798.872,1841063.099
2022-03-09T00:00:00Z,1422001.911,2155127.224
2022-03-10T00:00:00Z,1833860.679,1670106.876
2022-03-11T00:00:00Z,1886518.354,1617759.847
2022-03-12T00:00:00Z,1947503.967,1324512.945
2022-03-13T00:00:00Z,1620937.127,1625698.016
2022-03-14T00:00:00Z,1388130.213,1809203.524
2022-03-15T00:00:00Z,1031000.241,2167120.836
2022-03-16T00:00:00Z,1110986.124,2087755.927
2022-03-17T00:00:00Z,883323.166,1907484.087
2022-03-18T00:00:00Z,940397.2827,1845888.008
2022-03-19T00:00:00Z,1225216.572,1561159.22
2022-03-20T00:00:00Z,755221.253,1792741.024
2022-03-21T00:00:00Z,994657.9552,1535487.739
2022-03-22T00:00:00Z,806473.5548,1724773.144
2022-03-23T00:00:00Z,675804.1932,1779184.52
2022-03-24T00:00:00Z,796179.9787,1659557.27
2022-03-25T00:00:00Z,726695.4013,1418765.639
2022-03-26T00:00:00Z,700656.646,1422695.059
2022-03-27T00:00:00Z,747550.5061,1376965.459
2022-03-28T00:00:00Z,989687.8643,1127742.635
2022-03-29T00:00:00Z,841191.6733,768381.915
2022-03-30T00:00:00Z,573253.0519,1037261.23
2022-03-31T00:00:00Z,551304.6554,1057755.068
2022-04-01T00:00:00Z,1013406.911,595171.8404
2022-04-02T00:00:00Z,969010.1537,675144.2096
2022-04-03T00:00:00Z,578957.8024,1059033.493
2022-04-04T00:00:00Z,742599.5399,896130.198
2022-04-05T00:00:00Z,513647.1864,1110675.617
2022-04-06T00:00:00Z,576730.1195,1047804.588
2022-04-07T00:00:00Z,721293.3646,903767.1913
2022-04-08T00:00:00Z,544893.9579,1080600.877
2022-04-09T00:00:00Z,790718.2114,835273.0484
2022-04-10T00:00:00Z,1029954.165,596228.7707
2022-04-11T00:00:00Z,1050207.979,557233.7495
2022-04-12T00:00:00Z,933895.1536,676020.7554
2022-04-13T00:00:00Z,857474.9785,752523.8135
2022-04-14T00:00:00Z,680487.6157,934206.2141
2022-04-15T00:00:00Z,572955.6514,1057941.641
2022-04-16T00:00:00Z,638034.3188,1283408.484
2022-04-17T00:00:00Z,953055.565,1432877.831
2022-04-18T00:00:00Z,1283788.77,1452110.932
2022-04-19T00:00:00Z,569152.0316,1044823.692
2022-04-20T00:00:00Z,984649.7731,1553564.098
2022-04-21T00:00:00Z,2865464.128,3655960.358
2022-04-22T00:00:00Z,2780402.292,3484354.713
2022-04-23T00:00:00Z,2084668.505,2625795.612
2022-04-24T00:00:00Z,2061701.516,2510442.672
2022-04-25T00:00:00Z,2306215.318,2851006.88
2022-04-26T00:00:00Z,2230579.96,2381806.191
2022-04-27T00:00:00Z,1963342.982,2625534.316
2022-04-28T00:00:00Z,2139780.896,1259449.447
2022-04-29T00:00:00Z,1440021.029,2263553.122
2022-04-30T00:00:00Z,1493413.087,2132910.78
2022-05-01T00:00:00Z,2104535.048,1591070.386
2022-05-02T00:00:00Z,1748577.446,1137205.661
2022-05-03T00:00:00Z,1085914.623,1070848.839
2022-05-04T00:00:00Z,1667380.166,1205674.476
2022-05-05T00:00:00Z,953518.8183,1953499.361
2022-05-06T00:00:00Z,1046318.254,1739683.389
2022-05-07T00:00:00Z,1032217.97,1552850.566
2022-05-08T00:00:00Z,3070550.728,1535742.261
2022-05-09T00:00:00Z,2984765.663,1983136.397
2022-05-10T00:00:00Z,2966665.694,4368675.644
2022-05-11T00:00:00Z,4397414.077,2437719.214
2022-05-12T00:00:00Z,2453154.291,4956297.734
2022-05-13T00:00:00Z,6146339.808,5941587.16
2022-05-14T00:00:00Z,6062604.971,3909023.608
2022-05-15T00:00:00Z,4280616.642,3474748.431
2022-05-16T00:00:00Z,4262315.58,3412311.805
2022-05-17T00:00:00Z,2547125.185,3097715.923
2022-05-18T00:00:00Z,2078201.692,2424245.793
2022-05-19T00:00:00Z,2253736.174,1782868.701
2022-05-20T00:00:00Z,2550719.03,1327910.552
2022-05-21T00:00:00Z,2434279.274,1315742.975
2022-05-22T00:00:00Z,2289960.548,1363772.251
2022-05-23T00:00:00Z,2162750.189,1472401.979
2022-05-24T00:00:00Z,2224937.489,1407430.285
2022-05-25T00:00:00Z,1785750.78,1783765.746
2022-05-26T00:00:00Z,1778067.535,1640911.966
2022-05-27T00:00:00Z,1437538.985,1963717.98
2022-05-28T00:00:00Z,1497413.234,1754158.874
2022-05-29T00:00:00Z,1296667.521,1596916.411
2022-05-30T00:00:00Z,1753214.374,1133915.463
2022-05-31T00:00:00Z,1634121.312,1197100.242
2022-06-01T00:00:00Z,1756364.657,1068239.308
2022-06-02T00:00:00Z,1213086.654,1692115.152
2022-06-03T00:00:00Z,1394203.301,1511126.779
2022-06-04T00:00:00Z,1172626.723,1678206.956
2022-06-05T00:00:00Z,1181092.832,1552431.079
2022-06-06T00:00:00Z,1190152.939,1536043.111
2022-06-07T00:00:00Z,910701.8584,1258257.516
2022-06-08T00:00:00Z,742508.9882,1408181.75
2022-06-09T00:00:00Z,1311415.193,839620.4414
2022-06-10T00:00:00Z,1024376.522,1126832.117
2022-06-11T00:00:00Z,934372.2118,1218621.315
2022-06-12T00:00:00Z,1405490.46,749486.2191
2022-06-13T00:00:00Z,1238179.163,951788.5633
2022-06-14T00:00:00Z,955420.0983,1415846.569
2022-06-15T00:00:00Z,1213059.436,864113.8538
2022-06-16T00:00:00Z,919945.1414,1374254.44
2022-06-17T00:00:00Z,1218043.457,1241836.009
2022-06-18T00:00:00Z,801290.5702,1613347.034
2022-06-19T00:00:00Z,1384303.81,1534935.856
2022-06-20T00:00:00Z,1034651.238,1429967.836
2022-06-21T00:00:00Z,1127509.679,1321454.683
2022-06-22T00:00:00Z,1143612.734,1304980.76
2022-06-23T00:00:00Z,1000252.507,1418302.442
2022-06-24T00:00:00Z,1118142.518,1204352.224
2022-06-25T00:00:00Z,1159192.58,1161394.007
2022-06-26T00:00:00Z,1193936.946,1125597.055
2022-06-27T00:00:00Z,1038921.39,1209555.085
2022-06-28T00:00:00Z,1310011.567,939037.0941
2022-06-29T00:00:00Z,1210121.608,1039684.997
2022-06-30T00:00:00Z,1128838.632,1325026.509
2022-07-01T00:00:00Z,1040337.127,1278861.318
2022-07-02T00:00:00Z,1022537.269,1300614.679
2022-07-03T00:00:00Z,1522775.892,798002.0795
2022-07-04T00:00:00Z,1363267.195,959135.5276
2022-07-05T00:00:00Z,1076347.199,1247419.342
2022-07-06T00:00:00Z,1240177.384,992368.0639
2022-07-07T00:00:00Z,1217958.044,998364.7134
2022-07-08T00:00:00Z,1358704.954,857791.2975
2022-07-09T00:00:00Z,1378592.235,823432.2309
2022-07-10T00:00:00Z,1461608.834,719362.958
2022-07-11T00:00:00Z,1006433.533,1174694.139
2022-07-12T00:00:00Z,1092270.86,1114259.666
2022-07-13T00:00:00Z,1106238.563,1098293.077
2022-07-14T00:00:00Z,894681.0164,1217948.128
2022-07-15T00:00:00Z,962787.344,1119769.796
2022-07-16T00:00:00Z,985785.8863,1095774.932
2022-07-17T00:00:00Z,1047216.615,1034379.545
2022-07-18T00:00:00Z,1076827.644,1002852.399
2022-07-19T00:00:00Z,1029186.513,1031261.797
2022-07-20T00:00:00Z,1092761.536,838117.4339
2022-07-21T00:00:00Z,1162900.441,768118.7691
2022-07-22T00:00:00Z,1140837.405,790192.693
2022-07-23T00:00:00Z,1205923.483,725249.7487
2022-07-24T00:00:00Z,1063873.912,857288.9999
2022-07-25T00:00:00Z,813041.5288,1108295.398
2022-07-26T00:00:00Z,917959.7414,977812.8324
2022-07-27T00:00:00Z,832654.5549,862035.6482
2022-07-28T00:00:00Z,1061772.191,633429.3847
2022-07-29T00:00:00Z,1054817.991,640741.0811
2022-07-30T00:00:00Z,1176689.704,679662.754
2022-07-31T00:00:00Z,1218576.909,625379.1508
2022-08-01T00:00:00Z,1118036.499,725959.692
2022-08-02T00:00:00Z,1018705.085,705109.7755
2022-08-03T00:00:00Z,960926.3253,700080.3453
2022-08-04T00:00:00Z,935412.2272,725628.7518
2022-08-05T00:00:00Z,1097319.191,563860.1856
2022-08-06T00:00:00Z,1008656.465,652560.2237
2022-08-07T00:00:00Z,1005106.386,656107.8344
2022-08-08T00:00:00Z,1037341.583,624482.7725
2022-08-09T00:00:00Z,1051389.422,607091.3768
2022-08-10T00:00:00Z,1023540.828,632717.7359
2022-08-11T00:00:00Z,1002764.63,653641.9355
2022-08-12T00:00:00Z,988975.3145,667531.9617
2022-08-13T00:00:00Z,999209.6931,657362.8228
2022-08-14T00:00:00Z,1073075.045,576267.8645
2022-08-15T00:00:00Z,988632.9702,620505.3074
2022-08-16T00:00:00Z,911760.992,690424.9617
2022-08-17T00:00:00Z,534390.0452,1024003.851