date_time,am3crv,amwbtc_in_usd,amweth_in_usd,stablecoin_percent,btc_percent,weth_percent,ideal
2021-12-21T00:00:00+00:00,25418914.71844501998995561300000000000000,24991539.26561657,25850392.055183306,0.3333154041506974,0.32771127732775973,0.33897331852154294,0.33
2021-12-20T00:00:00+00:00,25004042.52003713152285224400000000000000,26131770.365054548,25725081.995216954,0.3253155269526148,0.33998784955272976,0.33469662349465557,0.33
2021-12-19T00:00:00+00:00,24438160.07728622019075592200000000000000,25645112.28387976,25894895.92230939,0.32164713403075446,0.33753264738098937,0.34082021858825623,0.33
2021-12-18T00:00:00+00:00,24315278.10649070579818570800000000000000,25177448.81260941,24899075.799551364,0.3268542664364603,0.33844385930302145,0.3347018742605182,0.33
2021-12-17T00:00:00+00:00,23494697.94460649552536899700000000000000,25366851.728700463,25068785.955727264,0.3177950937825793,0.3431183087817376,0.3390865974356831,0.33
2021-12-16T00:00:00+00:00,23799624.05189390525769059500000000000000,25230491.175121386,25328955.20699237,0.32006349612742463,0.3393061670601839,0.34063033681239147,0.33
2021-12-15T00:00:00+00:00,24303648.72942430258590825500000000000000,24902819.132570516,24166048.39226385,0.3312364079923956,0.3394025502175021,0.3293610417901023,0.33
2021-12-14T00:00:00+00:00,24034083.66657465454153407200000000000000,24089968.639493264,24281813.34421647,0.3319355890675724,0.3327074184272065,0.33535699250522116,0.33
2021-12-13T00:00:00+00:00,23276449.28036807098863674800000000000000,26422646.91046432,26627898.113362197,0.3049569748233739,0.34617696073762794,0.3488660644389982,0.33
2021-12-12T00:00:00+00:00,24762337.30932954046431047000000000000000,24981280.774849392,25202533.568879656,0.3304017186093767,0.3333230622766725,0.3362752191139507,0.33
2021-12-11T00:00:00+00:00,24666662.53808434728432731600000000000000,24363220.714817915,24618981.59316879,0.3349225081695233,0.3308023927556518,0.33427509907482494,0.33
2021-12-10T00:00:00+00:00,23734292.29635114587178083200000000000000,25337810.4904487,26366014.34779247,0.31461936217212044,0.3358754360907821,0.3495052017370973,0.33
2021-12-09T00:00:00+00:00,24386340.68812949251467873000000000000000,26768476.451272015,27500184.621627457,0.3100418300443309,0.3403277077356183,0.3496304622200506,0.33
2021-12-08T00:00:00+00:00,25733263.00670272471322101600000000000000,26605600.648891937,25770025.113409285,0.32945370766706505,0.3406219326403972,0.3299243596925378,0.33
2021-12-07T00:00:00+00:00,25479589.37130048338197293300000000000000,26357240.09929575,26504040.66907444,0.3252400608504091,0.33644303480807053,0.33831690434152045,0.33
2021-12-06T00:00:00+00:00,25486533.67777194018699790400000000000000,25524739.396584943,25411080.855614115,0.33349579497546383,0.33399572355458107,0.33250848146995515,0.33
2021-12-05T00:00:00+00:00,25023255.28007770079409568300000000000000,25690046.323202297,25293335.036345445,0.329224609670888,0.3379974099499754,0.3327779803791367,0.33
2021-12-04T00:00:00+00:00,24919322.77538032776342069400000000000000,28040596.1203718,26299717.843431704,0.314401173164359,0.3537815371605063,0.3318172896751346,0.33
2021-12-03T00:00:00+00:00,25121027.78797531876286081900000000000000,27625922.227423366,27406531.303622644,0.31341156210034526,0.34466278660397276,0.341925651295682,0.33
2021-12-02T00:00:00+00:00,25691684.10006237997308403200000000000000,27055508.85882889,27314776.632178195,0.32089747768243976,0.3379320918161225,0.34117043050143786,0.33
2021-12-01T00:00:00+00:00,26101250.30080447234669039500000000000000,26968639.304495394,27454764.14206308,0.32413986383219,0.33491158358912626,0.3409485525786838,0.33
2021-11-30T00:00:00+00:00,23128092.08952359624077018700000000000000,24677905.602493938,23166462.786784973,0.3258741761733245,0.347711005593001,0.3264148182336746,0.33
2021-11-29T00:00:00+00:00,22866812.73401988573477767100000000000000,23106477.243208155,22639479.780725863,0.3332734243886002,0.33676642591052874,0.32996014970087095,0.33
2021-11-28T00:00:00+00:00,22408162.21540654092381642300000000000000,22106023.059751175,22143853.761832736,0.33616593795943517,0.33163326403112325,0.3322007980094416,0.33
2021-11-27T00:00:00+00:00,21553481.52770115824276891900000000000000,21959236.744094416,21967955.672592428,0.32915790613282764,0.3353544705838573,0.3354876232833151,0.33
2021-11-26T00:00:00+00:00,20848007.81532730088424002500000000000000,23954314.76059848,24365744.17309854,0.3014108792569568,0.3463204320501899,0.35226868869285316,0.33
2021-11-25T00:00:00+00:00,22442456.65920483448939844500000000000000,22246634.95167559,21737635.115442645,0.3378528156545686,0.3349048801295197,0.32724230421591166,0.33
2021-11-24T00:00:00+00:00,21618123.19248620411746347500000000000000,22301812.51843054,22557759.24053915,0.3251936338688103,0.3354781259295471,0.3393282402016426,0.33
2021-11-23T00:00:00+00:00,21716311.18090020502963194100000000000000,21994617.87612382,21025094.574043512,0.33545945461003424,0.3397585554755692,0.32478198991439655,0.33
2021-11-22T00:00:00+00:00,20861167.13998135098477689400000000000000,22725445.66734428,23010946.810322788,0.3132422157771247,0.34123541159490195,0.3455223726279733,0.33
2021-11-21T00:00:00+00:00,21538749.13232530623554656500000000000000,22857651.25574611,23335612.152174745,0.3179995444477166,0.3374719043253611,0.34452855122692233,0.33
2021-11-20T00:00:00+00:00,22206060.62429963462908407500000000000000,22214595.104467146,22304404.92402558,0.3327994071050775,0.3329273122742001,0.3342732806207223,0.33
2021-11-19T00:00:00+00:00,21951007.85830261378999132000000000000000,21833375.19920601,20941446.357618157,0.33913830161244013,0.33732090259014014,0.3235407957974197,0.33
2021-11-18T00:00:00+00:00,21022707.51748881387437676700000000000000,23304619.457646273,23539810.632223625,0.309762696035811,0.3433859195959282,0.3468513843682608,0.33
2021-11-17T00:00:00+00:00,21878140.00036107997976011600000000000000,22597537.145841587,22117558.918999724,0.32853396670706736,0.3393368227925733,0.3321292105003593,0.33
2021-11-16T00:00:00+00:00,21983260.19071752954440329600000000000000,24418557.67842001,24895030.552789923,0.30833424867005116,0.3424914034616717,0.34917434786827706,0.33
2021-11-15T00:00:00+00:00,23369372.92322319571434577100000000000000,24553624.968673028,24840658.61871437,0.3211682046217044,0.33744352807630756,0.341388267301988,0.33
2021-11-14T00:00:00+00:00,24208496.92033285583259419100000000000000,24466156.24863575,25171246.954509895,0.32782452214481206,0.33131367087036157,0.3408618069848264,0.33
2021-11-13T00:00:00+00:00,24004977.85086920297792227200000000000000,25174974.460410297,24877067.85546984,0.32414182742998254,0.3399404189329446,0.3359177536370728,0.33
2021-11-12T00:00:00+00:00,24165078.06258518920938083100000000000000,25174237.076016285,25219359.295891386,0.32410820398660106,0.3376433026332078,0.3382484933801912,0.33
2021-11-11T00:00:00+00:00,24429020.88114078214299518600000000000000,25681551.55919201,25024069.25100379,0.32513658588402605,0.3418070676998148,0.3330563464161591,0.33
2021-11-10T00:00:00+00:00,24770047.65745570385140009300000000000000,26477066.09094524,25942971.554470606,0.32089675196322437,0.343011229836797,0.3360920181999786,0.33
2021-11-09T00:00:00+00:00,25210718.83564725351536920200000000000000,26142119.69066928,26639691.018388826,0.32324530288758563,0.3351874832535673,0.3415672138588471,0.33
2021-11-08T00:00:00+00:00,25652725.58684556928057551200000000000000,24463975.67031447,25376472.745725907,0.3398019215070348,0.3240554658541614,0.3361426126388039,0.33
2021-11-07T00:00:00+00:00,27824047.84973740535189137300000000000000,27699145.38321736,27991448.561492134,0.333163709403439,0.3316681337314812,0.3351681568650799,0.33
2021-11-06T00:00:00+00:00,27500187.40067214107755799600000000000000,28131345.75753882,27999677.997793697,0.3288268461086091,0.3363737696571552,0.3347993842342356,0.33
2021-11-05T00:00:00+00:00,27203463.33779470424236177300000000000000,28305644.294148184,28325026.33928604,0.32449149349035644,0.3376386556800648,0.33786985082957877,0.33
2021-11-04T00:00:00+00:00,27445403.08942827708553836800000000000000,28830956.55432498,28476800.004645664,0.32382749154469725,0.34017559550500637,0.3359969129502964,0.33
2021-11-03T00:00:00+00:00,27933714.17533855895093627400000000000000,28653119.949730616,28197131.938489377,0.329469302655622,0.3379544656857727,0.3325762316586053,0.33
2021-11-02T00:00:00+00:00,27592909.02414213487534552300000000000000,27532432.367315404,26638203.080155727,0.3374720262246197,0.33673237315285587,0.32579560062252433,0.33
2021-11-01T00:00:00+00:00,24222504.34213067448079007700000000000000,25353976.146442365,24735792.755124867,0.3259556367317141,0.3411815443096073,0.33286281895867853,0.33
2021-10-31T00:00:00+00:00,24168005.89251625011169079600000000000000,24725009.266834285,25232639.55290217,0.3260410445794196,0.33355535762637023,0.34040359779421014,0.33
2021-10-30T00:00:00+00:00,24064587.06523870694705343300000000000000,24963644.514831457,25123250.95819194,0.32453278399149205,0.3366573891756006,0.3388098268329074,0.33
2021-10-29T00:00:00+00:00,23735863.96960577131767436900000000000000,23805287.616293173,23807953.272384465,0.3326722040416757,0.33364521760400834,0.3336825783543161,0.33
2021-10-28T00:00:00+00:00,23752390.45023105133291584000000000000000,23517146.109582633,22317806.71683502,0.3413320487865442,0.337951486609983,0.32071646460347286,0.33
2021-10-27T00:00:00+00:00,21975930.70358799373426701500000000000000,23416276.7813834,24097431.368629515,0.31624758836186145,0.3369750824395022,0.3467773291986364,0.33
2021-10-26T00:00:00+00:00,22526133.75370071389244622800000000000000,24647712.100180477,23890164.936881363,0.31698370951824795,0.34683817907142916,0.3361781114103229,0.33
2021-10-25T00:00:00+00:00,23035551.38822713946024281700000000000000,22812947.16795863,22834088.268950894,0.33539143548676764,0.33215037788310964,0.3324581866301228,0.33
2021-10-24T00:00:00+00:00,22295895.48000769485540493900000000000000,23123205.22205364,23324676.525774866,0.32433329064989885,0.3363679761939301,0.33929873315617115,0.33
2021-10-23T00:00:00+00:00,21740874.08880025964779205000000000000000,22375289.403912447,21197209.042948708,0.33287018025182574,0.34258358641173264,0.3245462333364416,0.33
2021-10-22T00:00:00+00:00,21419639.08524332620224676600000000000000,23036056.556779712,22679552.989569157,0.31905205569111084,0.3431290868257768,0.33781885748311236,0.33
2021-10-21T00:00:00+00:00,21985387.37366659157160041600000000000000,24185161.889186654,23390963.10419437,0.3160567765930491,0.34768021950948186,0.33626300389746894,0.33
2021-10-20T00:00:00+00:00,22967345.96068594457432682200000000000000,22961411.45232098,21976307.63748486,0.3382272875168921,0.33813989332382927,0.3236328191592786,0.33
2021-10-19T00:00:00+00:00,21733577.32735596397245210600000000000000,21260899.924550023,21500011.774863172,0.3369834796014152,0.32965452157819947,0.33336199882038525,0.33
2021-10-18T00:00:00+00:00,20971928.82022480404142939800000000000000,21266506.11338432,22105089.668653447,0.3259368980773451,0.3305150944845273,0.3435480074381276,0.33
2021-10-17T00:00:00+00:00,21814141.16714245664951173300000000000000,22073238.225023787,22189740.27627537,0.3301315383691108,0.33405266960457347,0.33581579202631584,0.33
2021-10-16T00:00:00+00:00,21141227.21900579498725594300000000000000,22071535.240039438,22159795.51227214,0.32339605294750196,0.3376269175473211,0.33897702950517694,0.33
2021-10-15T00:00:00+00:00,20904735.55981326862065769800000000000000,19815387.257058997,20882284.360935718,0.3393493293123148,0.321665794647671,0.33898487604001415,0.33
2021-10-14T00:00:00+00:00,20153672.72240948469852698500000000000000,20739243.477859233,19582070.28319023,0.3332563410811492,0.3429391998877388,0.32380445903111194,0.33
2021-10-13T00:00:00+00:00,19472000.60991801815431976500000000000000,19897051.871962365,19249819.12084579,0.3321797243366322,0.33943082369120553,0.3283894519721622,0.33
2021-10-12T00:00:00+00:00,19121120.95709617633199808300000000000000,18670459.848462623,19824421.032547176,0.3318717083289504,0.3240499037216148,0.3440783879494348,0.33
2021-10-11T00:00:00+00:00,19470942.26471752407470951400000000000000,19032435.33007378,19327011.875748042,0.33669049167715953,0.32910785322947744,0.334201655093363,0.33
2021-10-10T00:00:00+00:00,18854215.60271898459206949100000000000000,19477686.844785113,20336119.79966401,0.3213712492861317,0.33199835444811326,0.346630396265755,0.33
2021-10-09T00:00:00+00:00,19172707.70405300796064563600000000000000,19265106.504881334,19732169.82856641,0.3295979536747481,0.3311863811491094,0.33921566517614254,0.33
2021-10-08T00:00:00+00:00,18921604.86168321023480536000000000000000,19553504.429938365,19772600.74210801,0.32484718885474206,0.33569567659596383,0.3394571345492941,0.33
2021-10-07T00:00:00+00:00,20227728.55999714669912794600000000000000,21505027.331347696,20823356.66683378,0.3233533500213091,0.3437717986607228,0.332874851317968,0.33
2021-10-06T00:00:00+00:00,21895261.47440775635116959900000000000000,20578015.114489175,21993590.042294774,0.3396358876827113,0.3192029671957516,0.34116114512153717,0.33
2021-10-05T00:00:00+00:00,22086800.58476385669092895400000000000000,21205760.327344514,21593137.68952375,0.3403955118117244,0.3268171690273072,0.3327873191609684,0.33
2021-10-04T00:00:00+00:00,21814310.27058221504350861500000000000000,21671452.213089935,22600987.097539037,0.3300859916521623,0.3279243169080182,0.34198969143981955,0.33
2021-10-03T00:00:00+00:00,21413841.41141187365705130300000000000000,21682744.920544144,21725222.076147527,0.33034933670154865,0.3344976860879051,0.3351529772105463,0.33
2021-10-02T00:00:00+00:00,21204951.26040204332369487200000000000000,21825689.867244136,21072753.68676222,0.33079295288173793,0.3404763496603212,0.3287306974579408,0.33
2021-10-01T00:00:00+00:00,19003870.08232041811103677300000000000000,17627026.69384408,17660171.862572305,0.3500367658771983,0.3246763627206843,0.3252868714021173,0.33
2021-09-30T00:00:00+00:00,17344027.75728281706378129500000000000000,16703626.073816137,16708798.514866948,0.3417107964729791,0.32909364823138065,0.32919555529564026,0.33
2021-09-29T00:00:00+00:00,16627848.67910426496214578400000000000000,17443041.10800123,16787705.081465345,0.32694274629635517,0.34297135328016176,0.3300859004234832,0.33
2021-09-28T00:00:00+00:00,16635000.36195000135063241500000000000000,18214223.891993087,17914498.340075076,0.31527344061648743,0.34520354130695924,0.3395230180765534,0.33
2021-09-27T00:00:00+00:00,17291706.50788956841141335300000000000000,18169777.90752616,18732128.755531486,0.31907277437555165,0.33527526297631766,0.3456519626481306,0.33
2021-09-26T00:00:00+00:00,18149926.95170859767084195300000000000000,18530176.164927058,17647154.801475115,0.334085091853275,0.34108432626690255,0.3248305818798225,0.33
2021-09-25T00:00:00+00:00,17682173.44722811654513739500000000000000,18496071.50373391,18247021.882205375,0.32488905385489797,0.33984346940238036,0.3352674767427217,0.33
2021-09-24T00:00:00+00:00,17911579.42231563672007327600000000000000,18907912.52383008,19582133.36890804,0.31757204375340914,0.3352370152138772,0.3471909410327137,0.33
2021-09-23T00:00:00+00:00,18660958.00123422685103992200000000000000,18574130.782341953,18453230.583808895,0.3350964477510049,0.33353728382078357,0.33136626842821154,0.33
2021-09-22T00:00:00+00:00,18998796.42879558969332047600000000000000,17915481.186368812,17373745.523890924,0.34996294449940424,0.3300079861165591,0.32002906938403664,0.33
2021-09-21T00:00:00+00:00,17216262.11189246851074726400000000000000,19082246.814032834,19239212.630850736,0.30999222923274483,0.34359073939547763,0.34641703137177765,0.33
2021-09-20T00:00:00+00:00,18426721.35947912989646774300000000000000,20898651.25835737,21496852.18256315,0.30296033102948994,0.3436022165736372,0.35343745239687285,0.33
2021-09-19T00:00:00+00:00,19743817.42866386375271072800000000000000,20725519.199218217,21233687.549354937,0.31998135734727234,0.33589146521709884,0.3441271774356288,0.33
2021-09-18T00:00:00+00:00,19925293.68464036076381909700000000000000,19918505.077641204,20535804.10114828,0.3300004097361913,0.32988797761214256,0.3401116126516661,0.33
2021-09-17T00:00:00+00:00,19460817.40073733979797524900000000000000,20333816.35888461,21202714.700546075,0.3190436616018725,0.333355742047752,0.3476005963503757,0.33
2021-09-16T00:00:00+00:00,20480981.21232192123997865600000000000000,21039476.765214063,20929269.56134706,0.3279594966938784,0.3369026190244667,0.33513788428165486,0.33
2021-09-15T00:00:00+00:00,21041021.61814499612322020500000000000000,21214307.927951302,20278368.31293036,0.3364749301341333,0.3392460170159127,0.324279052849954,0.33
2021-09-14T00:00:00+00:00,20795642.45377813944112113600000000000000,20435552.60829554,20253424.44569298,0.3382251141873174,0.33236853007952905,0.3294063557331536,0.33
2021-09-13T00:00:00+00:00,20063915.76166032807318684700000000000000,20962039.09890794,21120535.22057873,0.322848735873291,0.3373004504604688,0.33985081366624015,0.33
2021-09-12T00:00:00+00:00,20625550.44583813877413938600000000000000,20476457.191957455,20106531.480547145,0.3369717811098215,0.3345359566966229,0.32849226219355554,0.33
2021-09-11T00:00:00+00:00,22069780.89297575462118533900000000000000,22223526.131903365,22443628.198476624,0.33069814817106036,0.333001898536777,0.3362999532921627,0.33
2021-09-10T00:00:00+00:00,21884380.74382385650135018800000000000000,23312727.419596903,24181653.29192457,0.3154334307035653,0.3360210953693922,0.34854547392704255,0.33
2021-09-09T00:00:00+00:00,22725152.18049149660369681900000000000000,23109399.49761165,23971530.352181442,0.3255468795775194,0.3310513758326373,0.3434017445898434,0.33
2021-09-08T00:00:00+00:00,22914270.27230162293765512900000000000000,24050271.505254354,23034114.738422584,0.3273530009403965,0.3435819014578431,0.32906509760176034,0.33
2021-09-07T00:00:00+00:00,23010878.40759350105058570200000000000000,26359759.38280899,27156696.669159845,0.300688356259849,0.3444489419233294,0.3548627018168216,0.33
2021-09-06T00:00:00+00:00,26147261.03083783286714615600000000000000,26133094.75211526,26824020.71765711,0.3305412694914059,0.330362186116386,0.3390965443922081,0.33
2021-09-05T00:00:00+00:00,26428409.41575237232348180400000000000000,25962311.490459565,26398172.491629798,0.3354331845010572,0.3295174024004093,0.33504941309853353,0.33
2021-09-04T00:00:00+00:00,25783839.25838014646721696100000000000000,26184809.830185916,26548177.66794165,0.3283861603110839,0.33349297102121667,0.3381208686676994,0.33
2021-09-03T00:00:00+00:00,26042625.72653564470874018000000000000000,26260668.692665383,25477423.68002525,0.33482110171974233,0.3376244053078061,0.32755449297245154,0.33
2021-09-02T00:00:00+00:00,25234374.51665201553920850800000000000000,29830750.977580704,26186816.26733514,0.31056949495067776,0.3671389302315805,0.3222915748177417,0.33
2021-09-01T00:00:00+00:00,25632311.10816616745545846400000000000000,27708708.603602216,23320734.330841556,0.3343559174750852,0.3614410986239793,0.30420298390093564,0.33
2021-08-31T00:00:00+00:00,24496874.98366737484482450600000000000000,26184887.25852387,23399484.874714844,0.33067579093274935,0.3534617501403836,0.3158624589268672,0.33
2021-08-30T00:00:00+00:00,22928004.83653917255308009000000000000000,24581775.178337116,23188872.94441545,0.3243061059415249,0.3476979284526297,0.3279959656058453,0.33
2021-08-29T00:00:00+00:00,22390814.130925907147118349000000,22689771.762200035,22777979.47841189,0.329962975319802,0.33436857437184914,0.33566845030834885,0.33
2021-08-28T00:00:00+00:00,21095746.686039042474123714000000,21619048.66723184,21804004.98291005,0.3269705353496622,0.3350813802269086,0.3379480844234293,0.33
2021-08-27T00:00:00+00:00,17862712.702431691517502207000000,17343979.89203931,17258798.570780087,0.34046593876667086,0.3305788148901685,0.3289552463431606,0.33
2021-08-26T00:00:00+00:00,1167739.97809062180527252900,1209805.3278235337,1210298.3581669885,0.3254712544420976,0.33719566433042114,0.3373330812274813,0.33
