"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"05/30/2020","17","4","15"
"05/31/2020","0","0","0"
"06/01/2020","0","0","0"
"06/02/2020","0","0","0"
"06/03/2020","0","0","0"
"06/04/2020","0","0","0"
"06/05/2020","0","0","0"
"06/06/2020","0","0","0"
"06/07/2020","0","0","0"
"06/08/2020","0","0","0"
"06/09/2020","0","0","0"
"06/10/2020","0","0","0"
"06/11/2020","0","0","0"
"06/12/2020","6","3","4"
"06/13/2020","0","0","0"
"06/14/2020","0","0","0"
"06/15/2020","5","3","3"
"06/16/2020","2","1","1"
"06/17/2020","0","0","0"
"06/18/2020","5","4","4"
"06/19/2020","7","5","5"
"06/20/2020","14","11","10"
"06/21/2020","7","5","5"
"06/22/2020","0","0","0"
"06/23/2020","5","3","4"
"06/24/2020","1","1","1"
"06/25/2020","0","0","0"
"06/26/2020","0","0","0"
"06/27/2020","2","1","1"
"06/28/2020","1","1","1"
"06/29/2020","3","2","2"
"06/30/2020","6","4","2"
"07/01/2020","1","1","1"
"07/02/2020","5","3","3"
"07/03/2020","10","6","8"
"07/04/2020","3","2","2"
"07/05/2020","3","2","2"
"07/06/2020","4","3","2"
"07/07/2020","10","5","5"
"07/08/2020","6","4","4"
"07/09/2020","8","5","5"
"07/10/2020","1","1","1"
"07/11/2020","16","10","12"
"07/12/2020","12","7","8"
"07/13/2020","7","3","5"
"07/14/2020","1","1","1"
"07/15/2020","10","6","6"
"07/16/2020","11","7","7"
"07/17/2020","12","5","7"
"07/18/2020","6","3","4"
"07/19/2020","14","8","6"
"07/20/2020","33","14","22"
"07/21/2020","10","5","6"
"07/22/2020","12","7","6"
"07/23/2020","92","27","71"
"07/24/2020","4785","31","4774"
"07/25/2020","31","22","10"
"07/26/2020","42","30","13"
"07/27/2020","85","44","43"
"07/28/2020","39","27","13"
"07/29/2020","54","35","21"
"07/30/2020","45","30","18"
"07/31/2020","63","46","27"
"08/01/2020","119","80","61"
"08/02/2020","80","58","34"
"08/03/2020","205","157","130"
"08/04/2020","184","156","95"
"08/05/2020","174","141","66"
"08/06/2020","197","168","84"
"08/07/2020","190","148","86"
"08/08/2020","172","149","64"
"08/09/2020","172","144","75"
"08/10/2020","191","160","76"
"08/11/2020","196","164","78"
"08/12/2020","209","168","86"
"08/13/2020","181","152","65"
"08/14/2020","197","169","65"
"08/15/2020","206","178","76"
"08/16/2020","220","183","63"
"08/17/2020","460","290","202"
"08/18/2020","298","233","99"
"08/19/2020","208","169","68"
"08/20/2020","221","164","93"
"08/21/2020","232","202","85"
"08/22/2020","187","153","68"
"08/23/2020","227","191","77"
"08/24/2020","220","187","82"
"08/25/2020","248","199","95"
"08/26/2020","251","212","85"
"08/27/2020","234","197","79"
"08/28/2020","259","207","108"
"08/29/2020","241","197","94"
"08/30/2020","284","246","95"
"08/31/2020","245","203","93"
"09/01/2020","288","234","115"
"09/02/2020","286","229","107"
"09/03/2020","284","240","97"
"09/04/2020","274","228","82"
"09/05/2020","288","237","109"
"09/06/2020","246","211","83"
"09/07/2020","303","225","111"
"09/08/2020","268","229","80"
"09/09/2020","274","232","81"
"09/10/2020","317","263","99"
"09/11/2020","317","246","113"
"09/12/2020","354","255","145"
"09/13/2020","356","286","129"
"09/14/2020","408","328","146"
"09/15/2020","348","265","131"
"09/16/2020","320","261","98"
"09/17/2020","280","229","73"
"09/18/2020","276","225","86"
"09/19/2020","372","312","102"
"09/20/2020","302","246","73"
"09/21/2020","285","218","104"
"09/22/2020","384","301","124"
"09/23/2020","382","283","135"
"09/24/2020","3463","3354","186"
"09/25/2020","97982","97889","123"
"09/26/2020","374","296","117"
"09/27/2020","407","324","113"
"09/28/2020","387","306","107"
"09/29/2020","455","324","186"
"09/30/2020","863","701","543"
"10/01/2020","2718","2497","2216"
"10/02/2020","2015","677","1521"
"10/03/2020","671","570","220"
"10/04/2020","659","570","177"
"10/05/2020","641","545","159"
"10/06/2020","641","520","177"
"10/07/2020","723","612","210"
"10/08/2020","917","791","165"
"10/09/2020","751","599","226"
"10/10/2020","690","574","190"
"10/11/2020","713","600","254"
"10/12/2020","764","640","231"
"10/13/2020","694","591","175"
"10/14/2020","661","538","179"
"10/15/2020","640","502","187"
"10/16/2020","604","462","194"
"10/17/2020","514","420","131"
"10/18/2020","629","509","212"
"10/19/2020","616","502","165"
"10/20/2020","944","793","512"
"10/21/2020","905","764","438"
"10/22/2020","802","655","274"
"10/23/2020","860","708","252"
"10/24/2020","740","603","229"
"10/25/2020","685","591","183"
"10/26/2020","649","524","178"
"10/27/2020","802","638","305"
"10/28/2020","3381","573","2937"
"10/29/2020","725","557","235"
"10/30/2020","811","612","287"
"10/31/2020","748","551","274"
"11/01/2020","702","576","172"
"11/02/2020","712","594","175"
"11/03/2020","818","594","268"
"11/04/2020","926","505","467"
"11/05/2020","711","513","256"
"11/06/2020","736","540","246"
"11/07/2020","660","499","206"
"11/08/2020","869","655","328"
"11/09/2020","877","694","385"
"11/10/2020","815","618","350"
"11/11/2020","746","578","244"
"11/12/2020","678","508","244"
"11/13/2020","748","572","234"
"11/14/2020","649","500","184"
"11/15/2020","636","488","187"
"11/16/2020","691","523","226"
"11/17/2020","666","495","240"
"11/18/2020","676","460","261"
"11/19/2020","931","649","362"
"11/20/2020","760","547","243"
"11/21/2020","657","479","219"
"11/22/2020","648","510","193"
"11/23/2020","768","570","257"
"11/24/2020","681","511","224"
"11/25/2020","770","574","259"
"11/26/2020","649","497","198"
"11/27/2020","635","497","170"
"11/28/2020","619","495","153"
"11/29/2020","670","532","177"
"11/30/2020","708","545","203"
"12/01/2020","702","561","167"
"12/02/2020","729","540","245"
"12/03/2020","728","581","200"
"12/04/2020","730","544","231"
"12/05/2020","670","492","192"
"12/06/2020","740","609","193"
"12/07/2020","848","652","275"
"12/08/2020","795","579","289"
"12/09/2020","794","564","264"
"12/10/2020","647","463","217"
"12/11/2020","682","502","216"
"12/12/2020","644","464","205"
"12/13/2020","670","442","254"
"12/14/2020","771","507","300"
"12/15/2020","995","589","470"
"12/16/2020","802","542","321"
"12/17/2020","836","538","375"
"12/18/2020","1025","711","487"
"12/19/2020","999","687","477"
"12/20/2020","1029","706","419"
"12/21/2020","862","576","358"
"12/22/2020","928","659","358"
"12/23/2020","894","644","298"
"12/24/2020","751","519","270"
"12/25/2020","649","436","236"
"12/26/2020","768","512","292"
"12/27/2020","863","587","316"
"12/28/2020","822","610","239"
"12/29/2020","754","563","212"
"12/30/2020","644","468","205"
"12/31/2020","798","517","338"
"01/01/2021","759","564","226"
"01/02/2021","707","498","251"
"01/03/2021","724","533","215"
"01/04/2021","670","488","199"
"01/05/2021","972","535","491"
"01/06/2021","873","586","335"
"01/07/2021","851","581","301"
"01/08/2021","776","531","277"
"01/09/2021","891","559","386"
"01/10/2021","804","537","314"
"01/11/2021","697","485","265"
"01/12/2021","962","667","364"
"01/13/2021","919","598","385"
"01/14/2021","973","654","415"
"01/15/2021","839","572","314"
"01/16/2021","1029","744","338"
"01/17/2021","1027","771","348"
"01/18/2021","1213","849","474"
"01/19/2021","1218","826","540"
"01/20/2021","1371","989","559"
"01/21/2021","2684","1332","1959"
"01/22/2021","2905","2616","359"
"01/23/2021","1604","1354","332"
"01/24/2021","1185","971","325"
"01/25/2021","1412","1003","564"
"01/26/2021","1422","1041","561"
"01/27/2021","1323","971","492"
"01/28/2021","1241","961","401"
"01/29/2021","1801","1439","557"
"01/30/2021","1490","1173","483"
"01/31/2021","1306","1042","406"
"02/01/2021","1286","976","376"
"02/02/2021","1152","888","345"
"02/03/2021","1255","988","370"
"02/04/2021","1185","890","374"
"02/05/2021","2287","1092","1752"
"02/06/2021","1370","1056","412"
"02/07/2021","1349","1036","445"
"02/08/2021","1551","1229","591"
"02/09/2021","1663","1270","574"
"02/10/2021","1852","1334","721"
"02/11/2021","1824","1376","677"
"02/12/2021","3185","1604","2246"
"02/13/2021","1990","1502","637"
"02/14/2021","1676","1288","622"
"02/15/2021","1884","1485","636"
"02/16/2021","1978","1525","654"
"02/17/2021","1851","1342","708"
"02/18/2021","2002","1649","573"
"02/19/2021","2123","1469","810"
"02/20/2021","2683","1711","1306"
"02/21/2021","3496","2196","1820"
"02/22/2021","3077","2188","1216"
"02/23/2021","2748","1978","1025"
"02/24/2021","3293","2208","1470"
"02/25/2021","3591","2386","1684"
"02/26/2021","3408","2387","1355"
"02/27/2021","3809","2599","1873"
"02/28/2021","4259","3086","1694"
"03/01/2021","4994","3586","2090"
"03/02/2021","7473","5889","3042"
"03/03/2021","5936","4658","1866"
"03/04/2021","5430","4211","1699"
"03/05/2021","4645","3722","1357"
"03/06/2021","4749","3889","1319"
"03/07/2021","5675","4617","1682"
"03/08/2021","5579","4527","1567"
"03/09/2021","5705","4301","1892"
"03/10/2021","5595","4421","1975"
"03/11/2021","5541","4370","1936"
"03/12/2021","5627","4403","1902"
"03/13/2021","5373","4195","1868"
"03/14/2021","6040","4758","1900"
"03/15/2021","5954","4534","1886"
"03/16/2021","5533","4259","1656"
"03/17/2021","5538","4262","1731"
"03/18/2021","5452","4115","1921"
"03/19/2021","5637","4184","1838"
"03/20/2021","6069","4487","2337"
"03/21/2021","7146","5467","2756"
"03/22/2021","6841","4851","2531"
"03/23/2021","7319","4479","3521"
"03/24/2021","7640","5100","3359"
"03/25/2021","6084","4136","2289"
"03/26/2021","5673","4249","1838"
"03/27/2021","5944","4420","2075"
"03/28/2021","7306","5483","2655"
"03/29/2021","8148","5945","2839"
"03/30/2021","6966","5236","2289"
"03/31/2021","9225","7408","4729"
"04/01/2021","8048","5969","3041"
"04/02/2021","10447","5074","5994"
"04/03/2021","6300","4395","2392"
"04/04/2021","6656","4756","2272"
"04/05/2021","7986","5714","3065"
"04/06/2021","7369","5382","2776"
"04/07/2021","6776","4832","2454"
"04/08/2021","7242","5072","2728"
"04/09/2021","8051","5285","3509"
"04/10/2021","7597","5159","3131"
"04/11/2021","8644","5916","3363"
"04/12/2021","8316","5621","3266"
"04/13/2021","7935","5365","3185"
"04/14/2021","9967","6473","4607"
"04/15/2021","9680","6703","4018"
"04/16/2021","8300","5727","3321"
"04/17/2021","7352","5250","2639"
"04/18/2021","9907","6339","4182"
"04/19/2021","9011","6439","3392"
"04/20/2021","10666","6916","4730"
"04/21/2021","9742","6803","4073"
"04/22/2021","12007","8638","5771"
"04/23/2021","10945","7451","4749"
"04/24/2021","9925","7209","3784"
"04/25/2021","11504","8210","4525"
"04/26/2021","15282","10956","6221"
"04/27/2021","20273","13685","9303"
"04/28/2021","22613","16389","9483"
"04/29/2021","22054","15117","9760"
"04/30/2021","27320","18188","12857"
"05/01/2021","27013","18377","12631"
"05/02/2021","27866","21545","11695"
"05/03/2021","29819","22206","11869"
"05/04/2021","28242","20843","10653"
"05/05/2021","27562","20759","10381"
"05/06/2021","29470","21367","11747"
"05/07/2021","31864","23355","11780"
"05/08/2021","27659","19868","10297"
"05/09/2021","31039","22068","11801"
"05/10/2021","29566","21074","10958"
"05/11/2021","31306","21624","12228"
"05/12/2021","36095","25319","14555"
"05/13/2021","33191","22941","12705"
"05/14/2021","60161","44606","37510"
"05/15/2021","43704","28413","19787"
"05/16/2021","43743","29361","18911"
"05/17/2021","43977","29368","18744"
"05/18/2021","55286","38529","23437"
"05/19/2021","49443","37422","19203"
"05/20/2021","49671","35345","19997"
"05/21/2021","46660","34134","17803"
"05/22/2021","41692","28417","17236"
"05/23/2021","39589","29468","13499"
"05/24/2021","46822","34969","16830"
"05/25/2021","48908","37692","16637"
"05/26/2021","55247","41439","19290"
"05/27/2021","57156","43212","21425"
"05/28/2021","58390","41682","23335"
"05/29/2021","53028","37668","20509"
"05/30/2021","54884","40141","20766"
"05/31/2021","61029","44502","23114"
"06/01/2021","66404","49810","23615"
"06/02/2021","86818","66837","29466"
"06/03/2021","77338","52676","35551"
"06/04/2021","72464","48347","32503"
"06/05/2021","70268","48329","30326"
"06/06/2021","65605","46257","26002"
"06/07/2021","84488","62625","30022"
"06/08/2021","79555","58334","30474"
"06/09/2021","78643","62135","28218"
"06/10/2021","90196","69268","36041"
"06/11/2021","107705","76578","47912"
"06/12/2021","80261","65618","28865"
"06/13/2021","86491","67772","33465"
"06/14/2021","110136","87268","44627"
"06/15/2021","134101","107388","50013"
"06/16/2021","138917","112771","57795"
"06/17/2021","146077","114122","66918"
"06/18/2021","111985","94013","44977"
"06/19/2021","98684","84672","38314"
"06/20/2021","99500","83335","41828"
"06/21/2021","108278","91617","44438"
"06/22/2021","108143","90953","45298"
"06/23/2021","104646","90462","41905"
"06/24/2021","101950","88291","39910"
"06/25/2021","102022","86380","40500"
"06/26/2021","89653","74634","37764"
"06/27/2021","102745","82840","44047"
"06/28/2021","105784","88556","43767"
"06/29/2021","122713","104247","46535"
"06/30/2021","105440","89493","44818"
"07/01/2021","111799","93349","47065"
"07/02/2021","103557","84802","43323"
"07/03/2021","103636","83808","47271"
"07/04/2021","106906","87758","45521"
"07/05/2021","132922","111148","50063"
"07/06/2021","125647","102895","58062"
"07/07/2021","112511","91140","49765"
"07/08/2021","99710","83404","42262"
"07/09/2021","124358","108889","48213"
"07/10/2021","105177","88250","42436"
"07/11/2021","103996","86062","43087"
"07/12/2021","141427","124229","57565"
"07/13/2021","121612","101626","51203"
"07/14/2021","109671","91560","45898"
"07/15/2021","114943","92986","51090"
"07/16/2021","114626","93326","51053"
"07/17/2021","111966","92559","48102"
"07/18/2021","111922","93176","48068"
"07/19/2021","127932","110784","53693"
"07/20/2021","121181","101852","54364"
"07/21/2021","124956","105422","52355"
"07/22/2021","128648","110364","55295"
"07/23/2021","128082","105899","60350"
"07/24/2021","124934","101216","53320"
"07/25/2021","116627","92945","51975"
"07/26/2021","124534","103043","54051"
"07/27/2021","116732","97898","50443"
"07/28/2021","140993","117126","69353"
"07/29/2021","183316","158779","85383"
"07/30/2021","139365","113176","73255"
"07/31/2021","152083","122749","82510"
"08/01/2021","192009","166663","73114"
"08/02/2021","153649","126196","71189"
"08/03/2021","169137","144236","79106"
"08/04/2021","170855","140110","85107"
"08/05/2021","141971","118886","69489"
"08/06/2021","143227","116988","69172"
"08/07/2021","151546","120998","72513"
"08/08/2021","170837","146237","68631"
"08/09/2021","152493","126501","72179"
"08/10/2021","153088","127899","69652"
"08/11/2021","152159","127149","71611"
"08/12/2021","143089","115163","65991"
"08/13/2021","148798","122547","69522"
"08/14/2021","134029","110660","59767"
"08/15/2021","144099","118384","63937"
"08/16/2021","150408","121205","68388"
"08/17/2021","146202","117837","70536"
"08/18/2021","140983","115208","62948"
"08/19/2021","138024","110446","62694"
"08/20/2021","144403","116417","68069"
"08/21/2021","154257","118952","74233"
"08/22/2021","146510","120689","71810"
