Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,50,213,30,32,34,233517.5874,662342.0372,0,0,12857628.45
2022-07-30T00:00:00+00:00,163,270332,45,62,66,428824.4498,1017988967,0,0,12857628.45
2022-07-29T00:00:00+00:00,150,270169,44,53,56,735914.7982,1017560143,0,0,12857628.45
2022-07-28T00:00:00+00:00,120,270019,34,40,46,386547.477,1016824228,0,0,12857628.45
2022-07-27T00:00:00+00:00,329,269899,52,58,62,1517867.247,1016437681,0,0,12857628.45
2022-07-26T00:00:00+00:00,170,269570,49,46,56,1011981.912,1014919813,1507.5,0,12857628.45
2022-07-25T00:00:00+00:00,125,269400,45,49,57,563106.1606,1013907832,0,0,12856120.95
2022-07-24T00:00:00+00:00,126,269275,36,43,51,342482.3091,1013344725,0,0,12856120.95
2022-07-23T00:00:00+00:00,197,269149,51,55,62,1365392.571,1013002243,0,0,12856120.95
2022-07-22T00:00:00+00:00,54,268952,32,41,47,3458468.417,1011636850,0,0,12856120.95
2022-07-21T00:00:00+00:00,133,268898,33,44,51,697240.0884,1008178382,0,0,12856120.95
2022-07-20T00:00:00+00:00,166,268765,40,40,46,643664.8178,1007481142,0,0,12856120.95
2022-07-19T00:00:00+00:00,101,268599,45,47,60,328539.0452,1006837477,0,0,12856120.95
2022-07-18T00:00:00+00:00,230,268498,50,56,61,896310.7456,1006508938,0,0,12856120.95
2022-07-17T00:00:00+00:00,172,268268,49,48,58,867945.4994,1005612627,0,-62000,12856120.95
2022-07-16T00:00:00+00:00,548,268096,54,59,67,1622691.278,1004744682,0,0,12918120.95
2022-07-15T00:00:00+00:00,912,267548,58,56,69,3377432.722,1003121991,0,0,12918120.95
2022-07-14T00:00:00+00:00,203,266636,41,52,58,953411.199,999744557.9,0,0,12918120.95
2022-07-13T00:00:00+00:00,212,266433,37,42,45,962991.3449,998791146.7,0,0,12918120.95
2022-07-12T00:00:00+00:00,163,266221,46,65,68,791281.5232,997828155.3,0,0,12918120.95
2022-07-11T00:00:00+00:00,136,266058,38,39,48,230426.6171,997036873.8,0,-25541.17159,12918120.95
2022-07-10T00:00:00+00:00,417,265922,58,58,68,977993.9128,996806447.2,0,0,12943662.12
2022-07-09T00:00:00+00:00,211,265505,45,54,61,463919.6906,995828453.3,0,0,12943662.12
2022-07-08T00:00:00+00:00,227,265294,49,52,62,581576.7354,995364533.6,0,0,12943662.12
2022-07-07T00:00:00+00:00,547,265067,61,71,79,1577786.149,994782956.8,0,0,12943662.12
2022-07-06T00:00:00+00:00,611,264520,61,69,80,1257891.592,993205170.7,0,0,12943662.12
2022-07-05T00:00:00+00:00,770,263909,87,94,110,4236911.784,991947279.1,0,-75487.99034,12943662.12
2022-07-04T00:00:00+00:00,775,263139,92,93,113,1263106.347,987710367.3,0,0,13019150.12
2022-07-03T00:00:00+00:00,688,262364,68,76,88,1572079.952,986447261,0,0,13019150.12
2022-07-02T00:00:00+00:00,1522,261676,86,105,119,3538247.613,984875181,0,0,13019150.12
2022-07-01T00:00:00+00:00,1450,260154,92,96,109,5062511.07,981336933.4,0,0,13019150.12
2022-06-30T00:00:00+00:00,1707,258704,108,119,139,7394465.256,976274422.3,29160.96495,0,13019150.12
2022-06-29T00:00:00+00:00,2808,256997,186,200,235,12522108.7,968879957.1,0,-5884.519071,12989989.15
2022-06-28T00:00:00+00:00,1492,254189,109,115,138,14382242.96,956357848.4,134278.006,0,12995873.67
2022-06-27T00:00:00+00:00,871,252697,86,87,111,13067887.96,941975605.4,15835.44048,-15835.44048,12861595.66
2022-06-26T00:00:00+00:00,211,251826,61,57,75,3814400.664,928907717.4,0,0,12861595.66
2022-06-25T00:00:00+00:00,140,251615,44,49,56,2201850.732,925093316.8,0,0,12861595.66
2022-06-24T00:00:00+00:00,240,251475,54,58,66,4490686.509,922891466.1,0,0,12861595.66
2022-06-23T00:00:00+00:00,78,251235,23,31,34,588457.4354,918400779.5,0,0,12861595.66
2022-06-22T00:00:00+00:00,125,251157,39,43,50,1041690.898,917812322.1,0,0,12861595.66
2022-06-21T00:00:00+00:00,92,251032,40,44,49,1720656.076,916770631.2,11000,-11000,12861595.66
2022-06-20T00:00:00+00:00,282,250940,43,53,59,5051097.263,915049975.1,0,0,12861595.66
2022-06-19T00:00:00+00:00,198,250658,54,60,70,5870115.687,909998877.9,13384.51779,0,12861595.66
2022-06-18T00:00:00+00:00,65,250460,32,35,40,1552540.377,904128762.2,0,0,12848211.15
2022-06-17T00:00:00+00:00,122,250395,35,37,43,2669964.702,902576221.8,0,0,12848211.15
2022-06-16T00:00:00+00:00,154,250273,41,47,56,1629872.252,899906257.1,0,0,12848211.15
2022-06-15T00:00:00+00:00,171,250119,39,50,55,3327760.746,898276384.9,0,0,12848211.15
2022-06-14T00:00:00+00:00,157,249948,38,52,58,1835962.032,894948624.1,0,0,12848211.15
2022-06-13T00:00:00+00:00,187,249791,42,51,58,2790926.38,893112662.1,0,0,12848211.15
2022-06-12T00:00:00+00:00,294,249604,50,53,60,7958924.303,890321735.7,0,0,12848211.15
2022-06-11T00:00:00+00:00,163,249310,43,49,56,1514769.496,882362811.4,0,0,12848211.15
2022-06-10T00:00:00+00:00,188,249147,39,47,51,2900703.209,880848041.9,0,0,12848211.15
2022-06-09T00:00:00+00:00,319,248959,51,52,64,9995741.638,877947338.7,0,0,12848211.15
2022-06-08T00:00:00+00:00,276,248640,65,62,85,6469354.984,867951597,48948.81239,0,12848211.15
2022-06-07T00:00:00+00:00,228,248364,61,70,83,2454758.801,861482242.1,0,-58217.02735,12799262.33
2022-06-06T00:00:00+00:00,324,248136,67,82,90,6927385.609,859027483.3,0,-45197.65425,12857479.36
2022-06-05T00:00:00+00:00,197,247812,55,73,82,1601934.8,852100097.7,0,0,12902677.01
2022-06-04T00:00:00+00:00,145,247615,41,50,57,686078.775,850498162.9,0,0,12902677.01
2022-06-03T00:00:00+00:00,306,247470,59,70,82,3803099.193,849812084.1,0,0,12902677.01
2022-06-02T00:00:00+00:00,296,247164,70,72,84,5540179.094,846008984.9,0,0,12902677.01
2022-06-01T00:00:00+00:00,297,246868,70,78,95,6153184.54,840468805.8,0,-97380.13109,12902677.01
2022-05-31T00:00:00+00:00,313,246571,82,105,126,3483329.486,834315621.3,8243.694565,0,13000057.15
2022-05-30T00:00:00+00:00,431,246258,107,125,153,7558419.224,830832291.8,0,-63877.63855,12991813.45
2022-05-29T00:00:00+00:00,279,245827,94,95,117,3443257.848,823273872.5,0,-383438.2844,13055691.09
2022-05-28T00:00:00+00:00,621,245548,108,125,153,5572733.448,819830614.7,515522.9578,-320231.9426,13439129.37
2022-05-27T00:00:00+00:00,654,244927,152,154,200,4372987.805,814257881.2,88275.96793,-362269.0176,13243838.36
2022-05-26T00:00:00+00:00,1908,244273,367,408,475,22762615.41,809884893.4,57681.9927,-517966.4964,13517831.41
2022-05-25T00:00:00+00:00,1160,242365,177,173,232,12776684.61,787122278,0,-7640.047379,13978115.91
2022-05-24T00:00:00+00:00,464,241205,102,101,131,4074774.352,774345593.4,11003.15749,-17813.63845,13985755.96
2022-05-23T00:00:00+00:00,548,240741,94,109,135,4733632.364,770270819.1,49700.7333,-10144.87972,13992566.44
2022-05-22T00:00:00+00:00,1017,240193,109,119,150,7494183.098,765537186.7,0,0,13953010.59
2022-05-21T00:00:00+00:00,703,239176,89,109,129,4594412.037,758043003.6,0,-13900.55792,13953010.59
2022-05-20T00:00:00+00:00,596,238473,120,142,176,4087901.106,753448591.6,0,-31421.5517,13966911.15
2022-05-19T00:00:00+00:00,743,237877,111,137,168,3712962.781,749360690.5,0,0,13998332.7
2022-05-18T00:00:00+00:00,959,237134,173,192,238,5529175.636,745647727.7,0,0,13998332.7
2022-05-17T00:00:00+00:00,1334,236175,212,258,314,8027759.829,740118552,0,-315510.8992,13998332.7
2022-05-16T00:00:00+00:00,2580,234841,292,410,472,25875793.8,732090792.2,28402.50077,-149423.6406,14313843.6
2022-05-15T00:00:00+00:00,1962,232261,300,619,657,33366614.86,706214998.4,8226167.113,-51335.88393,14434864.74
2022-05-14T00:00:00+00:00,771,230299,191,317,357,7715479.003,672848383.6,2243111.068,-7088.975579,6260033.507
2022-05-13T00:00:00+00:00,1112,229528,205,260,316,4731462.612,665132904.5,839119.9274,-166168.541,4024011.415
2022-05-12T00:00:00+00:00,2087,228416,330,410,496,7299452.936,660401441.9,224768.4478,-124668.9298,3351060.028
2022-05-11T00:00:00+00:00,2437,226329,384,482,561,12587438.24,653101989,669628.6179,-536706.7905,3250960.51
2022-05-10T00:00:00+00:00,1568,223892,323,451,485,5530084.488,640514550.8,165632.0519,-97012.41214,3118038.683
2022-05-09T00:00:00+00:00,587,222324,161,176,203,1830492.22,634984466.3,142395.8095,-174626.4083,3049419.043
2022-05-08T00:00:00+00:00,237,221737,117,112,144,316359.3811,633153974.1,0,0,3081649.642
2022-05-07T00:00:00+00:00,191,221500,88,103,119,855325.4833,632837614.7,0,0,3081649.642
2022-05-06T00:00:00+00:00,201,221309,95,79,107,619489.9889,631982289.2,0,0,3081649.642
2022-05-05T00:00:00+00:00,229,221108,136,116,160,1164502.243,631362799.2,0,0,3081649.642
2022-05-04T00:00:00+00:00,158,220879,84,105,125,545126.1344,630198297,0,-1062.582591,3081649.642
2022-05-03T00:00:00+00:00,185,220721,93,107,122,811490.2836,629653170.8,0,-10,3082712.225
2022-05-02T00:00:00+00:00,275,220536,119,147,165,1071924.952,628841680.5,0,0,3082722.225
2022-05-01T00:00:00+00:00,189,220261,95,105,119,425965.5243,627769755.6,0,0,3082722.225
2022-04-30T00:00:00+00:00,323,220072,92,106,125,357777.0143,627343790.1,0,0,3082722.225
2022-04-29T00:00:00+00:00,180,219749,96,116,134,335769.3688,626986013,0,0,3082722.225
2022-04-28T00:00:00+00:00,173,219569,74,105,113,212057.5364,626650243.7,0,0,3082722.225
2022-04-27T00:00:00+00:00,138,219396,81,84,102,147692.6142,626438186.1,0,0,3082722.225
2022-04-26T00:00:00+00:00,195,219258,82,100,115,357114.0296,626290493.5,0,-4000.362606,3082722.225
2022-04-25T00:00:00+00:00,218,219063,111,128,145,335832.1849,625933379.5,0,0,3086722.587
2022-04-24T00:00:00+00:00,227,218845,111,126,144,363979.8054,625597547.3,0,0,3086722.587
2022-04-23T00:00:00+00:00,164,218618,83,99,112,153510.1342,625233567.5,0,0,3086722.587
2022-04-22T00:00:00+00:00,220,218454,110,114,140,586330.5294,625080057.4,0,0,3086722.587
2022-04-21T00:00:00+00:00,229,218234,103,144,160,257361.4168,624493726.8,0,0,3086722.587
2022-04-20T00:00:00+00:00,218,218005,110,125,138,894353.4944,624236365.4,0,0,3086722.587
2022-04-19T00:00:00+00:00,187,217787,93,107,115,170330.2067,623342011.9,0,0,3086722.587
2022-04-18T00:00:00+00:00,182,217600,90,109,120,426005.3513,623171681.7,0,0,3086722.587
2022-04-17T00:00:00+00:00,222,217418,105,117,134,191666.1183,622745676.4,0,0,3086722.587
2022-04-16T00:00:00+00:00,204,217196,83,106,113,241969.1402,622554010.3,0,0,3086722.587
2022-04-15T00:00:00+00:00,174,216992,87,99,115,338623.3224,622312041.1,0,0,3086722.587
2022-04-14T00:00:00+00:00,181,216818,85,94,104,335594.3998,621973417.8,15000,-57.34099512,3086722.587
2022-04-13T00:00:00+00:00,184,216637,100,113,128,713711.5601,621637823.4,0,-6919.507327,3071779.928
2022-04-12T00:00:00+00:00,215,216453,95,107,122,824028.3633,620924111.8,1978.79,0,3078699.435
2022-04-11T00:00:00+00:00,205,216238,91,97,113,583618.607,620100083.5,240.9704422,-120824.1633,3076720.645
2022-04-10T00:00:00+00:00,137,216033,66,81,90,137010.9093,619516464.9,650,-1268.191171,3197303.838
2022-04-09T00:00:00+00:00,164,215896,77,80,97,166809.3684,619379454,0,-111.4420411,3197922.029
2022-04-08T00:00:00+00:00,193,215732,86,91,106,304205.8564,619212644.6,19114.4664,0,3198033.472
2022-04-07T00:00:00+00:00,222,215539,107,114,137,217036.1852,618908438.7,0,-8651.86299,3178919.005
2022-04-06T00:00:00+00:00,206,215317,92,101,124,448156.6769,618691402.5,7043.293379,0,3187570.868
2022-04-05T00:00:00+00:00,177,215111,91,104,125,207144.1322,618243245.9,5000,0,3180527.575
2022-04-04T00:00:00+00:00,160,214934,80,94,111,120189.9548,618036101.7,0,0,3175527.575
2022-04-03T00:00:00+00:00,134,214774,72,86,103,155505.1164,617915911.8,0,0,3175527.575
2022-04-02T00:00:00+00:00,170,214640,86,85,103,94895.9582,617760406.7,1231.484674,0,3175527.575
2022-04-01T00:00:00+00:00,268,214470,89,109,124,264252.2281,617665510.7,0,0,3174296.09
2022-03-31T00:00:00+00:00,216,214202,88,102,120,404206.5303,617401258.5,0,0,3174296.09
2022-03-30T00:00:00+00:00,222,213986,91,110,130,486974.8214,616997052,250,-138849.3248,3174296.09
2022-03-29T00:00:00+00:00,282,213764,115,134,154,364021.4222,616510077.1,0,-103726.5364,3312895.415
2022-03-28T00:00:00+00:00,284,213482,99,124,141,630691.9763,616146055.7,0,0,3416621.951
2022-03-27T00:00:00+00:00,201,213198,111,123,146,916671.4284,615515363.7,0,-85963.47418,3416621.951
2022-03-26T00:00:00+00:00,194,212997,93,100,117,582107.9049,614598692.3,0,0,3502585.425
2022-03-25T00:00:00+00:00,359,212803,131,155,174,2236453.69,614016584.4,86815.47418,-69303.54382,3502585.425
2022-03-24T00:00:00+00:00,183,212444,86,110,116,360170.9662,611780130.7,46319,-46369,3485073.495
2022-03-23T00:00:00+00:00,132,212261,77,76,96,226116.7548,611419959.7,0,0,3485123.495
2022-03-22T00:00:00+00:00,158,212129,82,91,104,377668.1055,611193843,0,0,3485123.495
2022-03-21T00:00:00+00:00,147,211971,74,87,102,284342.2694,610816174.9,0,-15825.967,3485123.495
2022-03-20T00:00:00+00:00,147,211824,67,86,98,254881.7289,610531832.6,0,-4197.138041,3500949.462
2022-03-19T00:00:00+00:00,214,211677,92,115,128,555910.2108,610276950.9,0,0,3505146.6
2022-03-18T00:00:00+00:00,173,211463,74,95,111,633277.9981,609721040.7,0,0,3505146.6
2022-03-17T00:00:00+00:00,157,211290,71,90,104,395214.3345,609087762.7,0,-102.72,3505146.6
2022-03-16T00:00:00+00:00,162,211133,72,98,114,109917.7065,608692548.3,0,0,3505249.32
2022-03-15T00:00:00+00:00,161,210971,83,94,110,618546.007,608582630.6,0,-30053.5492,3505249.32
2022-03-14T00:00:00+00:00,160,210810,77,84,102,1002998.234,607964084.6,139938.4428,-35945.55783,3535302.869
2022-03-13T00:00:00+00:00,101,210650,50,68,75,227610.8606,606961086.4,0,0,3431309.984
2022-03-12T00:00:00+00:00,107,210549,53,66,72,72978.36467,606733475.5,0,0,3431309.984
2022-03-11T00:00:00+00:00,113,210442,61,74,86,55262.73562,606660497.2,0,-5045.656783,3431309.984
2022-03-10T00:00:00+00:00,201,210329,81,104,116,358800.7438,606605234.4,0,0,3436355.641
2022-03-09T00:00:00+00:00,322,210128,109,153,165,3230821.587,606246433.7,14180.66445,-1358195.927,3436355.641
2022-03-08T00:00:00+00:00,207,209806,87,122,140,219338.9781,603015612.1,0,0,4780370.903
2022-03-07T00:00:00+00:00,239,209599,98,134,150,617843.4802,602796273.1,34346.66827,-6793.883497,4780370.903
2022-03-06T00:00:00+00:00,350,209360,126,160,176,888606.3998,602178429.6,0,-20014.53542,4752818.119
2022-03-05T00:00:00+00:00,215,209010,89,120,133,787868.3573,601289823.2,100.5698726,-139423.7329,4772832.654
2022-03-04T00:00:00+00:00,188,208795,82,114,129,175678.9901,600501954.9,0,-850.1944984,4912155.817
2022-03-03T00:00:00+00:00,167,208607,66,93,106,116550.3595,600326275.9,0,0,4913006.011
2022-03-02T00:00:00+00:00,153,208440,64,81,94,84013.17001,600209725.5,0,0,4913006.011
2022-03-01T00:00:00+00:00,185,208287,77,111,121,328777.9305,600125712.4,1986.615401,-71928,4913006.011
2022-02-28T00:00:00+00:00,181,208102,78,103,113,534352.7542,599796934.4,71928,-52312.32096,4982947.396
2022-02-27T00:00:00+00:00,240,207921,85,124,133,1096385.945,599262581.7,19.42886035,0,4963331.717
2022-02-26T00:00:00+00:00,110,207681,57,71,75,227613.3991,598166195.7,0,0,4963312.288
2022-02-25T00:00:00+00:00,180,207571,79,103,112,476953.5898,597938582.3,0,-547.1508509,4963312.288
2022-02-24T00:00:00+00:00,183,207391,75,82,97,2441009.452,597461628.7,0,-1122421.724,4963859.439
2022-02-23T00:00:00+00:00,195,207208,84,90,108,787548.9486,595020619.3,0,-5405.599737,6086281.163
2022-02-22T00:00:00+00:00,167,207013,71,89,105,540416.7208,594233070.3,0,0,6091686.762
2022-02-21T00:00:00+00:00,169,206846,76,91,103,967518.9865,593692653.6,0,0,6091686.762
2022-02-20T00:00:00+00:00,183,206677,83,99,112,722102.9869,592725134.6,24950,-13400.41159,6091686.762
2022-02-19T00:00:00+00:00,150,206494,68,87,98,324564.4554,592003031.7,0,0,6080137.174
2022-02-18T00:00:00+00:00,160,206344,73,90,102,377770.9682,591678467.2,0,0,6080137.174
2022-02-17T00:00:00+00:00,132,206184,60,75,85,274316.4572,591300696.2,0,0,6080137.174
2022-02-16T00:00:00+00:00,256,206052,104,117,135,726164.3284,591026379.8,16662.37688,-59839.94515,6080137.174
2022-02-15T00:00:00+00:00,184,205796,85,103,117,2074899.244,590300215.4,5000,-600309.67,6123314.742
2022-02-14T00:00:00+00:00,285,205612,121,157,168,1614055.76,588225316.2,900,0,6718624.412
2022-02-13T00:00:00+00:00,179,205327,86,100,121,3588949.754,586611260.4,533.5141839,-8861.937658,6717724.412
2022-02-12T00:00:00+00:00,219,205148,96,139,159,564994.1566,583022310.7,2750.296349,-21437.55969,6726052.836
